model,scale_pct,noise_ratio_pct,epoch,checkpoint_name,checkpoint_kind,changed_positions,train_subset_utterances,acc_em,acc_sc,acc_gen,loss_em,loss_sc,loss_gen,ntokens_em,ntokens_sc,ntokens_gen,nsentences_em,nsentences_sc,nsentences_gen
hubert_base_ls960,10,30,4,checkpoint4.pt,epoch,51307,12027,4.181,85.71,88.039,3.398,0.949,0.797,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,5,checkpoint5.pt,epoch,51307,12027,5.11,85.696,88.771,3.322,0.957,0.783,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,6,checkpoint6.pt,epoch,51307,12027,7.477,83.651,88.488,3.246,0.992,0.767,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,7,checkpoint7.pt,epoch,51307,12027,12.355,78.03,87.497,3.036,1.155,0.775,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,8,checkpoint8.pt,epoch,51307,12027,23.554,65.196,85.672,2.566,1.621,0.824,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,9,checkpoint9.pt,epoch,51307,12027,46.274,40.737,81.415,1.819,2.656,0.979,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,10,checkpoint10.pt,epoch,51307,12027,67.831,22.445,78.537,1.184,4.036,1.149,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,11,checkpoint11.pt,epoch,51307,12027,86.429,6.837,73.62,0.596,6.386,1.502,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,12,checkpoint12.pt,epoch,51307,12027,94.845,1.863,71.551,0.287,8.54,1.831,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
hubert_base_ls960,10,30,13,checkpoint13.pt,epoch,51307,12027,97.77,1.3,73.815,0.154,9.638,1.907,51307.0,51307.0,122495.0,12027.0,12027.0,7176.0
